epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3163.4,2.17304,2.25684,2.3027,0.45017,0.35596,0.30973,0.12407,2.0998,2.20692,2.31744,0.0013466,0.0013466,0.0013466
68,3210.8,2.13183,2.18174,2.24786,0.41751,0.32844,0.29612,0.12644,2.07388,2.25591,2.28361,0.0013367,0.0013367,0.0013367
69,3257.74,2.06953,2.13278,2.21588,0.37407,0.29174,0.27664,0.12448,2.02284,2.25787,2.26402,0.0013268,0.0013268,0.0013268
70,3304.16,2.12424,2.15128,2.27276,0.4264,0.32661,0.3041,0.12904,2.07717,2.19307,2.28111,0.0013169,0.0013169,0.0013169
71,3350.37,2.10413,2.11163,2.27397,0.45961,0.32304,0.31658,0.14136,2.08848,2.1761,2.28216,0.001307,0.001307,0.001307
72,3396.52,2.08339,2.11572,2.23506,0.42361,0.31927,0.31734,0.15007,1.99607,2.09397,2.24052,0.0012971,0.0012971,0.0012971
73,3442.72,2.05622,2.11232,2.23023,0.42456,0.34862,0.3426,0.1659,1.98089,2.05509,2.23232,0.0012872,0.0012872,0.0012872
74,3488.99,2.01791,2.07789,2.16053,0.51056,0.32844,0.34387,0.15765,2.02388,2.0935,2.25565,0.0012773,0.0012773,0.0012773
75,3535.02,2.03836,2.07394,2.21894,0.48739,0.35596,0.35764,0.16208,2.01761,2.05882,2.24482,0.0012674,0.0012674,0.0012674
76,3581.02,2.0592,2.12007,2.28362,0.49249,0.34862,0.37057,0.18438,1.97777,2.02291,2.23826,0.0012575,0.0012575,0.0012575
77,3627.25,2.03523,2.02735,2.19565,0.4114,0.3633,0.3473,0.17504,1.97559,1.99477,2.21319,0.0012476,0.0012476,0.0012476
78,3673.6,2.01035,2.0463,2.18003,0.40587,0.3211,0.31728,0.15533,1.96881,2.12219,2.22138,0.0012377,0.0012377,0.0012377
79,3720.05,1.97686,2.0553,2.18052,0.48653,0.35413,0.3747,0.18106,1.96148,1.98843,2.21462,0.0012278,0.0012278,0.0012278
80,3766.82,2.02766,2.01173,2.17928,0.45228,0.37727,0.36465,0.1813,1.92597,1.96853,2.16666,0.0012179,0.0012179,0.0012179
81,3813.46,2.06281,2.0384,2.20732,0.48592,0.40183,0.38378,0.18736,1.90379,2.00249,2.13462,0.001208,0.001208,0.001208
82,3860.49,2.09054,2.01219,2.17454,0.39266,0.33945,0.29845,0.12462,2.05206,2.32468,2.21735,0.0011981,0.0011981,0.0011981
83,3907.55,2.03693,2.00334,2.16397,0.36699,0.34495,0.32757,0.15091,1.97082,2.15422,2.16634,0.0011882,0.0011882,0.0011882
84,3953.96,2.04186,1.98171,2.19746,0.52067,0.35046,0.39243,0.19557,1.90105,1.95082,2.13344,0.0011783,0.0011783,0.0011783
85,4000.16,2.00102,2.00426,2.15286,0.52291,0.37406,0.40135,0.20629,1.89821,1.90066,2.13331,0.0011684,0.0011684,0.0011684
86,4046.39,1.91914,1.91462,2.09941,0.44145,0.36147,0.36889,0.19343,1.92802,1.91894,2.15807,0.0011585,0.0011585,0.0011585
87,4092.56,1.96733,1.89917,2.12992,0.51726,0.38349,0.42428,0.21426,1.92584,1.85134,2.13507,0.0011486,0.0011486,0.0011486
88,4138.94,1.97227,1.956,2.1305,0.53169,0.38331,0.42821,0.22264,1.83497,1.86121,2.06182,0.0011387,0.0011387,0.0011387
89,4185.52,1.93417,1.91254,2.08281,0.47927,0.34862,0.39409,0.20823,1.8672,1.93004,2.08737,0.0011288,0.0011288,0.0011288
90,4232.52,1.92757,1.97625,2.11673,0.49975,0.40917,0.42987,0.21184,1.89496,1.89933,2.09932,0.0011189,0.0011189,0.0011189
91,4278.88,1.99296,1.97009,2.11255,0.51736,0.4,0.40361,0.19878,1.91869,1.94501,2.12224,0.001109,0.001109,0.001109
92,4325.38,1.92853,1.94866,2.10009,0.45716,0.37705,0.3651,0.18197,1.90999,1.9696,2.13431,0.0010991,0.0010991,0.0010991
93,4372.54,1.95378,1.87546,2.10799,0.4441,0.39633,0.38931,0.19375,1.89937,1.90852,2.11382,0.0010892,0.0010892,0.0010892
94,4419.25,1.92951,1.88685,2.09437,0.55488,0.38349,0.43932,0.2274,1.82586,1.81347,2.07772,0.0010793,0.0010793,0.0010793
95,4466.05,1.88568,1.90483,2.09555,0.46803,0.35963,0.37841,0.18893,1.91287,1.97473,2.14819,0.0010694,0.0010694,0.0010694
96,4512.9,1.8758,1.87519,2.0875,0.58977,0.41942,0.47638,0.2516,1.76153,1.82377,2.01279,0.0010595,0.0010595,0.0010595
97,4559.35,1.92271,1.88341,2.10469,0.56937,0.42456,0.47048,0.23907,1.78138,1.93596,2.02497,0.0010496,0.0010496,0.0010496
98,4606.14,1.9162,1.88845,2.11209,0.54722,0.44037,0.47779,0.2454,1.82763,1.77126,2.03873,0.0010397,0.0010397,0.0010397
99,4652.77,1.85677,1.84372,2.0173,0.59836,0.41284,0.47024,0.24919,1.80438,1.73611,2.0244,0.0010298,0.0010298,0.0010298
100,4699.65,1.91526,1.81813,2.04272,0.46358,0.4,0.41034,0.20597,1.77059,1.96481,2.00604,0.0010199,0.0010199,0.0010199
101,4746,1.85108,1.81816,2.04936,0.57047,0.38899,0.43586,0.22041,1.78241,1.86714,2.00532,0.00101,0.00101,0.00101
102,4792.54,1.9118,1.86002,2.03363,0.59518,0.40917,0.47819,0.26344,1.77531,1.70335,1.99282,0.0010001,0.0010001,0.0010001
103,4839.19,1.90905,1.81628,2.07508,0.558,0.42018,0.47066,0.25104,1.79387,1.73216,2.00844,0.0009902,0.0009902,0.0009902
104,4885.58,1.81185,1.78366,2.02006,0.59586,0.4,0.47501,0.25158,1.76656,1.71995,2.00706,0.0009803,0.0009803,0.0009803
105,4931.73,1.82457,1.77131,2.02894,0.56182,0.42202,0.47463,0.2554,1.75156,1.70446,1.99019,0.0009704,0.0009704,0.0009704
106,4977.94,1.85266,1.80044,2.05901,0.59131,0.42752,0.47619,0.25555,1.76226,1.72137,2.01043,0.0009605,0.0009605,0.0009605
107,5024.12,1.90249,1.86613,2.07159,0.62211,0.43486,0.49791,0.26242,1.75806,1.67386,2.00144,0.0009506,0.0009506,0.0009506
108,5070.55,1.83744,1.71979,1.97829,0.5505,0.42569,0.4607,0.23391,1.78991,1.71739,2.01676,0.0009407,0.0009407,0.0009407
109,5116.9,1.81679,1.81891,2.01999,0.49728,0.42018,0.42847,0.21302,1.78737,1.81296,2.00634,0.0009308,0.0009308,0.0009308
110,5163.47,1.78509,1.79503,1.99096,0.64443,0.43853,0.4977,0.26192,1.78423,1.71563,2.03954,0.0009209,0.0009209,0.0009209
111,5210.56,1.8458,1.76743,2.00554,0.63344,0.4,0.48415,0.25342,1.81843,1.72034,2.07067,0.000911,0.000911,0.000911
112,5257.44,1.80383,1.73689,1.96832,0.65431,0.44404,0.51864,0.28127,1.73104,1.66273,1.99166,0.0009011,0.0009011,0.0009011
113,5304.31,1.8736,1.7287,2.00673,0.59824,0.42202,0.49766,0.26629,1.74995,1.66747,1.98624,0.0008912,0.0008912,0.0008912
114,5351.46,1.80599,1.69211,1.95992,0.71755,0.44954,0.55584,0.31361,1.6703,1.53796,1.91966,0.0008813,0.0008813,0.0008813
115,5398.28,1.82134,1.68984,1.96076,0.65666,0.46606,0.54847,0.30431,1.70042,1.57233,1.936,0.0008714,0.0008714,0.0008714
116,5445.13,1.80706,1.66678,1.97809,0.61813,0.50788,0.56723,0.31342,1.65808,1.56881,1.89575,0.0008615,0.0008615,0.0008615
117,5491.58,1.70848,1.68821,1.92808,0.68973,0.47722,0.5734,0.31874,1.65528,1.53877,1.88791,0.0008516,0.0008516,0.0008516
118,5538.2,1.80075,1.68806,1.90973,0.69636,0.49358,0.57491,0.31565,1.66187,1.55321,1.88311,0.0008417,0.0008417,0.0008417
119,5584.47,1.81456,1.62944,1.94932,0.66901,0.49541,0.57485,0.32099,1.66891,1.52688,1.89292,0.0008318,0.0008318,0.0008318
120,5630.82,1.75069,1.63274,1.90819,0.70141,0.4789,0.57006,0.31708,1.67001,1.59275,1.91704,0.0008219,0.0008219,0.0008219
121,5676.87,1.72816,1.69467,1.9596,0.69803,0.47339,0.58228,0.32601,1.65194,1.54035,1.90962,0.000812,0.000812,0.000812
122,5723.27,1.77495,1.676,1.95725,0.70588,0.49725,0.5818,0.33094,1.63179,1.51084,1.89877,0.0008021,0.0008021,0.0008021
123,5769.6,1.73187,1.63261,1.90913,0.68609,0.49541,0.5883,0.33525,1.62795,1.49567,1.88592,0.0007922,0.0007922,0.0007922
124,5817.48,1.71688,1.65518,1.91204,0.65555,0.49358,0.56743,0.32418,1.62477,1.53835,1.88379,0.0007823,0.0007823,0.0007823
125,5864.69,1.79351,1.6835,1.94067,0.67225,0.46422,0.55733,0.31557,1.64373,1.54467,1.87743,0.0007724,0.0007724,0.0007724
126,5911.54,1.78452,1.68381,1.91548,0.6836,0.44404,0.54866,0.29828,1.65503,1.71809,1.87465,0.0007625,0.0007625,0.0007625
127,5958.05,1.86677,1.71182,1.97151,0.65651,0.49099,0.5669,0.30935,1.62441,1.68638,1.85264,0.0007526,0.0007526,0.0007526
128,6004.45,1.77526,1.65389,1.90071,0.71012,0.52844,0.60759,0.34919,1.57281,1.40926,1.82809,0.0007427,0.0007427,0.0007427
129,6050.9,1.71926,1.60357,1.89907,0.7503,0.51275,0.62048,0.35349,1.58078,1.3988,1.83731,0.0007328,0.0007328,0.0007328
130,6097.35,1.72829,1.59916,1.89964,0.697,0.47523,0.59438,0.34537,1.58163,1.4836,1.83535,0.0007229,0.0007229,0.0007229
